timestamp,Vb,Vs,Is,P,Ph
48975,12.155,0.004,0.0403,0.49,50.96
49079,12.1563,0.0042,0.0424,0.515,53.56
49183,12.155,0.0045,0.0446,0.5425,56.42
49286,12.15,0.0054,0.0543,0.66,67.98
49390,12.1513,0.0053,0.0525,0.6375,66.3
49493,12.1513,0.0054,0.054,0.6575,67.7225
49597,12.1513,0.0054,0.054,0.6575,68.38
49701,12.1487,0.0057,0.0568,0.69,71.76
49804,12.1487,0.0053,0.053,0.6425,66.1775
49908,12.15,0.0056,0.0558,0.6775,70.46
50012,12.1525,0.0054,0.0536,0.65,67.6
50115,12.1525,0.005,0.0496,0.6025,62.0575
50219,12.1513,0.0048,0.0476,0.5775,60.06
50322,12.1513,0.0048,0.0476,0.5775,59.4825
50426,12.1525,0.005,0.0499,0.605,62.92
50530,12.1538,0.0052,0.0519,0.63,65.52
50633,12.1525,0.0049,0.0486,0.59,60.77
50737,12.1513,0.0048,0.048,0.585,60.84
50841,12.1513,0.0051,0.0506,0.615,63.96
50945,12.1513,0.0054,0.0539,0.655,68.12
51048,12.1525,0.005,0.0504,0.6125,63.0875
51152,12.1513,0.0048,0.0481,0.585,60.84
51255,12.1487,0.0056,0.0559,0.68,70.04
51359,12.15,0.0055,0.0553,0.6725,69.94
51463,12.1525,0.0053,0.0529,0.6425,66.82
51566,12.1525,0.0049,0.0492,0.5975,61.5425
51670,12.15,0.0053,0.0529,0.6425,66.82
51775,12.1513,0.0049,0.0489,0.5925,62.2125
51879,12.1525,0.005,0.0504,0.6125,63.7
51983,12.1525,0.0051,0.0512,0.6225,64.74
52086,12.15,0.0052,0.0516,0.6275,64.6325
52190,12.15,0.005,0.0502,0.61,63.44
52294,12.1525,0.005,0.05,0.6075,63.18
52397,12.1538,0.0052,0.0524,0.6375,65.6625
52501,12.1525,0.005,0.0496,0.6025,62.66
52604,12.1513,0.0048,0.0483,0.5875,60.5125
52708,12.15,0.005,0.0497,0.6025,62.66
52812,12.155,0.0041,0.0412,0.5,52.0
52915,12.1575,0.0041,0.0412,0.5,51.5
53019,12.1575,0.004,0.0399,0.485,50.44
53123,12.1575,0.0038,0.038,0.4625,48.1
